,Name,Latitude,Longitude
0,Esso Moholt,63.409756128960225,10.440879680947319
1,Vikøyrane Ørsta ,62.19893834606634,6.123862570271854
2,Yx Stryn,61.90069802938828,6.715850285970646
3,IONITY Aurland,60.8992,7.2105
4,IONITY Rygge,59.3865,10.75157
5,IONITY Leirvik,59.77513,5.486289
6,IONITY Dal,60.2531,11.1826
7,IONITY Bergen,60.484743,5.376448
8,IONITY Dombås,62.074209,9.12493
9,IONITY Sira,58.40599,6.62316
10,IONITY Gol,60.702042,8.943108
11,IONITY Ringdalskogen,59.11234,10.11033
12,Circle K Sannan,64.0099804012101,11.502809023181953
13,IONITY Kjerlingland,58.236828,8.299077
14,IONITY Bagn,60.822468,9.5541
15,Frohavet,63.88479,9.87337
16,Doktorbakken 2,60.15911,11.43023
17,Doktorbakken 6,60.15883,11.4279
18,Rema 1000 Stavern,59.01617,10.02119
19,Gromstad 50kw,58.87814,9.40728
20,Bjelland,58.38356,7.52764
21,Mehamn,71.0382208,27.8506775
22,Kjøllefjord,70.9458779,27.3523839
23,Bygdekinoen Øksfjord,70.2394881,22.3474748
24,Tana Bru,70.20032,28.18906
25,Varangerbotn,70.1721581,28.5553805
26,Vadsø,70.0730834,29.7547072
27,Extra Bossekop,69.96111,23.23252
28,YX Burfjord,69.94074,22.05
29,Circle K Nordreisa,69.77198,21.02699
30,Kåfjord,69.5416909,20.5506883
31,Karasjok,69.47264598,25.51792468
32,Máze,69.44371,23.66711
33,Andøya Space Center,69.29569,16.03082
34,Esso Kautokeino,69.01323,23.04084
35,Hansens Bilverksted Mosjøen,65.82818,13.20252
36,Storgata,64.86287,11.23773
37,Strangata,64.86067,11.23663
38,AutoU+0026#039;n AS,64.302492,10.512236
39,Hellsenteret ladestasjon,63.44782,10.91071
40,"Vihals Handelssted, Skardsøya, Aure",63.34756,8.68931
41,Rema 1000 Averøy,63.068046,7.64769
42,Øyskogvegen 5,62.97752,8.66698
43,Eidsvåg,62.7757,8.06435
44,Rema 1000 Giske,62.529111,6.116412
45,Circle K Digerneset,62.49043,6.60654
46,Brusdalsvegen  201,62.470451,6.3788033
47,Alvdal,62.118898,10.613358
48,Sogn og Fjordane Energi AS,61.76439,4.871626
49,Pellestova Hotell Hafjell,61.2266949,10.5444369
50,Burger King Ringsaker,60.84265,11.05346
51,CC Hamar,60.7976147,11.0830523
52,Ringvegen 10,60.78345,10.69342
53,Amfi Raufoss,60.72915,10.61561
54,Shell Nesbyen,60.571029,9.111828
55,YX Osterøy,60.49867,5.47965
56,Rødberg v/Rødberg Hotell,60.2677,8.94287
57,Nannestad Sentrum,60.22035,11.01346
58,Smedsrud Alpakkagård,60.00774,11.22311
59,Møller Bil Grorud,59.95492,10.89408
60,Idas vei,59.950796,10.946725
61,Ullern Flerbrukshall,59.927623,10.63062
62,Rykkinn Senter,59.924486,10.486942
63,Jordalgata 12,59.9090685,10.7818404
64,Extra Dønski,59.90455,10.50474
65,Esso Ryen,59.8945622,10.8050726
66,Henie Onstad Kunstsenter,59.88864,10.55424
67,Kuben Senter,59.79858,5.2101
68,Eiker Senter,59.76046,9.90219
69,Buskerud Storsenter,59.756915,10.001678
70,Juvlandsvegen 2,59.69569,8.06618
71,Rema 1000 Holmestrand,59.474957,10.317436
72,Rygge Storsenter,59.41617,10.68292
73,BKK Hurtigladestasjon Rema 1000 Svarstad,59.40147,9.95709
74,Fyresdal kommune,59.20293,8.08427
75,Down Town Senter,59.137833,9.639557
76,BKK Hurtigladestasjon Rema 1000 Tjøme,59.12118,10.40059
77,Boreal - Revheim,58.9482951,5.6593146
78,Shell Bryne,58.7380121,5.6411648
79,Shell Tvedestrand,58.615281,8.901498
80,Extra Fiskå,58.12538,7.96376
81,Skaidi Supercharger,70.432146,24.505947
82,Handelsparken BKK,59.065125873774946,5.921035049548664
83,Notodden Supercharger,59.56683,9.218931
84,Vestby Supercharger,59.602856,10.741187
85,Leira Supercharger,60.969163,9.29164
86,Maurset Supercharger,60.410401,7.325072
87,Molde Storsenter,62.73830629912783,7.185910151431358
88,Aspøya Fjordsenter,63.011624738087505,7.976664870251852
89,Sommarøy,69.63589,17.99303
90,Hamn,69.41698,17.16816
91,Ole Reistads vei,69.05518,18.48918
92,Esso Deli De Luca Grubhei,66.32036,14.20314
93,Brekstad Fergeleie,63.68861,9.66842
94,Kiwi,63.44233,10.43408
95,TrP Jonas Lies Gate,63.42798,10.41926
96,Aure kommunehus,63.26768,8.53157
97,Rema 1000 Ulsteinvik,62.33763,5.85293
98,Stad Kommune - Leikanger Sentrum,62.12013,5.31701
99,Lom,61.83618,8.56653
100,Svelgen,61.76841,5.29211
101,Hardbakke,61.071742,4.840136
102,Engeli omsorgsboliger,60.61665,12.00475
103,Joker Hedalen,60.59944,9.74472
104,Nesbyen Auto AS,60.556917,9.12913
105,Skjold Borettslag,60.30719,5.34181
106,Kiwi Moberg,60.181583,5.453698
107,Oseana kunst og kultursenter,60.18141,5.46679
108,Viksveien  2,60.07742,10.27884
109,Romerikssenteret,60.076786,11.135482
110,Skreddergata 1,59.96003,10.47427
111,Ringstabekk Skole,59.91882,10.60067
112,Gamle Drammensvei 119,59.90239,10.57104
113,Dønskiveien 46,59.90068,10.50095
114,Hynion Høvik,59.89859,10.57581
