source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
203067,203338,4227.062994,4.227062994,"LINESTRING (11.101135541845837 63.668650098783296, 11.151803685511116 63.69931893645423)",37345V1742835,0.008720949,6437
225533,1804949,8602.295409,8.602295409,"LINESTRING (10.279030527523267 60.050952962361045, 10.324890746018992 59.97706397978698)",72438V180781,-0.024179825,11578
229327,1287001,7869.839437,7.869839437,"LINESTRING (11.271937586492612 60.702559900949026, 11.298462354754516 60.63298773348024)",91169V1801368,-0.001898387,12149
232649,232847,4687.452482,4.687452482,"LINESTRING (10.441589615197381 61.10436923438541, 10.415216340628987 61.144554610651)",87656V1060615,-0.005502349,14864
232847,232965,4963.772675,4.963772675,"LINESTRING (10.415216340628987 61.144554610651, 10.415799106721497 61.1891940060786)",84996V1060616,-0.001782515,8919
232965,293304,5647.656507,5.647656507,"LINESTRING (10.415799106721497 61.1891940060786, 10.437708589019334 61.23887676403181)",26139V1211205,-0.001690082,7547
233695,328981,7829.194272,7.829194272,"LINESTRING (10.147423822542166 61.52837296147307, 10.005712603848021 61.548284913218225)",77209V1060620,-0.007843208,4775
236965,1854846,13079.10772,13.07910772,"LINESTRING (9.128168302134789 62.071886315412286, 8.896900162278033 62.11793348390825)",74892V1059997,0.000903426,4136
120302,239563,11677.13068,11.67713068,"LINESTRING (9.247136023175235 60.984954725615886, 9.056247852569172 61.034643435747064)",45876V1060635,-0.002839567,3021
253044,990173,4920.409993,4.920409993,"LINESTRING (17.414697793593238 68.40607337751233, 17.45676198422443 68.44753270184225)",98841V885940,-0.00712969,8989
263259,343979,19222.74181,19.22274181,"LINESTRING (9.665678226395839 60.757321021346, 9.457926093013816 60.89742999806718)",38203V2433139,-0.014885754,1817
264384,733439,25195.89935,25.19589935,"LINESTRING (10.747482827404443 60.15233648924957, 10.946340912880771 59.94865008248658)",84967V625637,0.002362964,6713
264633,249770,6485.648245,6.485648245,"LINESTRING (10.680883876277063 60.248169857731085, 10.610866412138295 60.29503647484047)",58042V1060046,0.012894316,9286
278721,1306939,6684.432441,6.684432441,"LINESTRING (9.988049466434681 59.754556846224546, 9.86923728495378 59.7489377002652)",89755V180856,-0.003184264,15762
283367,293924,1957.121518,1.957121518,"LINESTRING (13.607178887358863 68.14224212428616, 13.565231112951903 68.1341302590444)",19425V885198,0.002714701,7192
293304,293574,6623.579052,6.623579052,"LINESTRING (10.437708589019334 61.23887676403181, 10.343650785423998 61.2776403026774)",45136V2237107,-0.005637134,6635
293574,293678,3609.018907,3.609018907,"LINESTRING (10.343650785423998 61.2776403026774, 10.305613385302312 61.30446534542221)",57449V2237119,-0.003579643,5601
293678,233289,17204.42784,17.20442784,"LINESTRING (10.305613385302312 61.30446534542221, 10.192088330034643 61.44931588413995)",81103V1059995,0.002830899,5336
