source,target,length_m,length_km,geometry,trafficPoint_ID,gradient_per_meter,volume
155191,351102,8849.839693949072,8.849839693949072,"LINESTRING (11.127465806112035 60.78620456025842, 11.228469072125108 60.72375907760355)",,-0.007220017786727574,0
203067,203338,4227.062993952531,4.227062993952531,"LINESTRING (11.101135541845837 63.668650098783296, 11.151803685511116 63.69931893645423)",37345V1742835,0.00872094881309781,6437
203338,628790,4737.151167256147,4.7371511672561475,"LINESTRING (11.151803685511116 63.69931893645423, 11.238385161161577 63.71787206930967)",,-0.003229578170472758,0
212063,264384,6796.720475187603,6.796720475187604,"LINESTRING (10.698419987437997 60.208380663710074, 10.747482827404443 60.15233648924957)",,0.0009893006523582863,0
225533,1804949,8602.295409334472,8.602295409334472,"LINESTRING (10.279030527523267 60.050952962361045, 10.324890746018992 59.97706397978698)",72438V180781,-0.024179825279459027,11578
226166,1035188,19444.760972810356,19.444760972810357,"LINESTRING (10.260352464839128 60.200473316326274, 10.096761366264275 60.3553974506094)",,-0.0006137385806226844,0
229327,1287001,7869.839436806551,7.869839436806551,"LINESTRING (11.271937586492612 60.702559900949026, 11.298462354754516 60.63298773348024)",91169V1801368,-0.001898386888317813,12149
232649,232847,4687.452482280829,4.687452482280829,"LINESTRING (10.441589615197381 61.10436923438541, 10.415216340628987 61.144554610651)",87656V1060615,-0.005502349111270368,14864
232847,232965,4963.772674766777,4.963772674766776,"LINESTRING (10.415216340628987 61.144554610651, 10.415799106721497 61.1891940060786)",84996V1060616,-0.0017825151512233057,8919
232965,293304,5647.656506687655,5.647656506687655,"LINESTRING (10.415799106721497 61.1891940060786, 10.437708589019334 61.23887676403181)",26139V1211205,-0.001690081538899773,7547
233289,233695,9104.787252668351,9.104787252668352,"LINESTRING (10.192088330034643 61.44931588413995, 10.147423822542166 61.52837296147307)",,-0.0022125722920209984,0
233695,328981,7829.19427235802,7.82919427235802,"LINESTRING (10.147423822542166 61.52837296147307, 10.005712603848021 61.548284913218225)",77209V1060620,-0.007843208108502529,4775
235735,1161983,12775.25491560441,12.77525491560441,"LINESTRING (9.555694768289518 61.74749430483938, 9.435214200908554 61.84728372399338)",,-0.0009739140300678191,0
236596,236965,11590.151815680734,11.590151815680734,"LINESTRING (9.248309867834722 61.98419924083553, 9.128168302134789 62.071886315412286)",,-0.01758777652284164,0
236965,1854846,13079.107715427179,13.07910771542718,"LINESTRING (9.128168302134789 62.071886315412286, 8.896900162278033 62.11793348390825)",74892V1059997,0.0009034255437825261,4136
