,u,v,length,traffic_id,volume,Name,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,vol_jan,vol_feb,vol_mar,vol_apr,vol_may,vol_jun,vol_jul,vol_aug,vol_sep,vol_oct,vol_nov,vol_dec,range,actual_range_jan,actual_range_feb,actual_range_mar,actual_range_apr,actual_range_may,actual_range_jun,actual_range_jul,actual_range_aug,actual_range_sep,actual_range_oct,actual_range_nov,actual_range_dec,charge_prob_jan,charge_prob_feb,charge_prob_mar,charge_prob_apr,charge_prob_may,charge_prob_jun,charge_prob_jul,charge_prob_aug,charge_prob_sep,charge_prob_oct,charge_prob_nov,charge_prob_dec,charge_cars_jan,charge_cars_feb,charge_cars_mar,charge_cars_apr,charge_cars_may,charge_cars_jun,charge_cars_jul,charge_cars_aug,charge_cars_sep,charge_cars_oct,charge_cars_nov,charge_cars_dec,new_id
0,794436,735703,11865.763083331209,59192V1878201,34276,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
1,794436,735703,11865.763083331209,59192V1878201,34276,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
2,794436,735703,11865.763083331209,59192V1878201,34276,"Recharge Filipstad, Oslo",243223,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0, 50.0, 150.0]",16,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
3,794436,735703,11865.763083331209,59192V1878201,34276,Recharge K89,243329,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",11,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
4,794436,735703,11865.763083331209,59192V1878201,34276,Idas vei,173544,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",8,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
5,794436,735703,11865.763083331209,59192V1878201,34276,Circle K Lørenskog,157375,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0, 150.0, 150.0, 150.0]",10,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
6,794436,735703,11865.763083331209,59192V1878201,34276,Recharge Solli P-Hus,243244,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[22.0],1,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
7,794436,735703,11865.763083331209,59192V1878201,34276,VIA Ruseløkkveien 26,243232,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",9,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,847,878,865,837,748,783,542,694,738,840,933,835,794436_735703
8,794436,735703,11865.763083331209,04525V625637,5893,Frydenlund P-hus,243271,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,5893,5939,5674,6298,6274,6745,4703,6350,6523,6650,6532,5181,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,145,146,140,138,124,127,84,114,126,142,157,128,794436_735703
9,794436,735703,11865.763083331209,04525V625637,5893,Tjuvholmen Parkering,215792,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0, 22.0]",15,5893,5939,5674,6298,6274,6745,4703,6350,6523,6650,6532,5181,300,240,240,240,270,300,315,330,330,306,276,245,240,0.04944067951388004,0.04944067951388004,0.04944067951388004,0.043947270679004474,0.03955254361110403,0.03766908915343241,0.03595685782827639,0.03595685782827639,0.03877700354029807,0.042991895229460904,0.048234809281834184,0.04944067951388004,145,146,140,138,124,127,84,114,126,142,157,128,794436_735703
