,name,lat,lon,dwellings,h_homes,w,w_s
0,oslo,59.910842,10.733951,345406,2209,177121.0,5.6494297031379865
1,drammen,59.74589695973192,10.235042832221115,46778,1468,26325.0,-0.07166525182928624
2,fredrikstad,59.2231856819567,10.920176998967918,38273,4403,27942.5,1.9191192886741897
3,kongsvinger,60.188980493147355,12.02395094620545,9654,983,6793.0,-1.0691259041109655
4,ringerike,60.175666435639556,10.222304864564414,16039,3746,15511.5,1.054687944419293
5,tønsberg,59.29656740490916,10.352425021384718,27195,487,14571.5,-1.1261575175054777
6,kragerø,58.871572165186365,9.413427764609171,5856,3462,9852.0,0.6710985439906825
7,arendal,58.46741740805612,8.73625959842887,22054,1717,14461.0,-0.31921571807812466
8,kristiansand,58.16177149663051,8.021871786407093,52115,3423,32903.5,1.445282726725862
9,stavanger,58.94674148952923,5.723444889423983,66428,1468,36150.0,0.2692642385692332
10,vinje,59.57045108710228,7.987022782996456,2286,5713,12569.0,2.2491653055941114
11,eigersund,58.44187489758664,6.007183373716596,7000,1220,5940.0,-0.9425024511276885
12,haugesund,59.4148835772228,5.274987442539993,19134,214,9995.0,-1.4649157547214726
13,bergen,60.38880667608687,5.339339990113907,142988,1336,74166.0,1.5014170142885122
14,lillehammer,61.1268911493229,10.43744034875333,15976,1735,11458.0,-0.4115554092926701
15,voss,60.625612002036775,6.39467130432505,3534,11338.0,0.7701231136260598
16,sunnfjord,61.449576,5.853578,11071,1243,8021.5,-0.8551131242015377
17,ullensvang,60.063625,6.547895,6693,2315,7976.5,-0.15004694536376756
18,elverum,60.88713577143387,11.56857926890249,10932,483,6432.0,-1.411236486924267
19,stranda,62.30885057432584,6.943435500895907,2463,902,3035.5,-1.2529044924926187
20,ålesund,62.47092418619818,6.161403945210475,32916,1540,19538.0,-0.259715458180367
21,sogndal,61.23074545217914,7.099149499636375,6725,812,4986.5,-1.244529482991521
22,dovre,62.07132872797058,9.123739362608752,1392,659,2014.0,-1.4485284809378098
23,røros,62.56980583628177,11.384377882139498,3142,3418,8407.0,0.5919533760033787
24,kristiansund,63.10701985957044,7.815061374109633,12805,518,7438.5,-1.353239866344767
25,namsos,64.46924027557688,11.515806698367403,7777,1579,7046.5,-0.6674655016169853
26,rana,66.31694035023736,14.168439639074437,12529,2054,10372.5,-0.23894800862289303
27,narvik,68.43969178841449,17.430672713325364,11987,3615,13223.5,0.8889429227684227
28,tromsø,69.68076496625868,18.990223022820437,40029,1851,23716.5,0.09028046794244787
29,guovdageaidnu - kautokeino,69.01431631736881,23.042268046271612,1348,437,1548.0,-1.6110339868404193
30,alta,69.97526404098429,23.289285540978636,9686,1343,7529.0,-0.8062862120386783
31,hammerfest,70.65951245449664,23.670935513525198,6322,1425,6011.0,-0.8049093747753128
32,sør-varanger,69.72536026248675,30.041048312113872,5664,2084,7000.0,-0.33619941326030756
33,sunndal,62.67115965975368,8.572638290535908,3837,880,3678.5,-1.245093949856329
34,bodø,67.27954754183003,14.428619632388475,26861,2699,18828.5,0.47964001892394464
35,trondheim,63.396138211961066,10.391645237003155,108303,1180,56511.5,0.7859721391298362
36,notodden,59.56298435360906,9.267528636197614,7258,1358,6345.0,-0.8374837376090236
37,bygland,58.831025185341815,7.794849391914864,863,853,2137.5,-1.3163644877626786
38,nesbyen,60.56893987642296,9.114186012802357,1919,3751,8461.5,0.8133473542912016
39,hol,60.532522,8.203602,2711,5832,13019.5,2.343238693562555
40,hemsedal,60.86265,8.561127,1376,2265,5218.0,-0.2787258351627495
