,Name,Latitude,Longitude,geometry
0,Kople:  Hønefoss sentrum - Normallader,60.16676853978183,10.259010629495492,POINT (10.259010629495492 60.16676853978183)
1,Furøyveien,66.74289365388472,13.552395016398236,POINT (13.552395016398236 66.74289365388472)
2,Flostrandveien 2,66.2960219821708,13.55036565191324,POINT (13.55036565191324 66.2960219821708)
3,Foldavegen 1225,64.96250732480354,12.178523878943563,POINT (12.178523878943563 64.96250732480354)
4,2 Ringveien,62.278583908655776,10.77562327744215,POINT (10.77562327744215 62.278583908655776)
5,IONITY Klett,63.3246,10.3059,POINT (10.3059 63.3246)
6,IONITY Oyer,61.243181,10.434626,POINT (10.434626 61.243181)
7,IONITY Alvdal,62.118925,10.613519,POINT (10.613519 62.118925)
8,IONITY Skei,61.57475,6.48347,POINT (6.48347 61.57475)
9,IONITY Aspoya,63.010702,7.975368,POINT (7.975368 63.010702)
10,1825 Tomter,59.61781,11.00401,POINT (11.00401 59.61781)
11,Esso Moholt,63.40975612896023,10.44087968094732,POINT (10.44087968094732 63.40975612896023)
12,Vikøyrane Ørsta ,62.19893834606634,6.123862570271854,POINT (6.123862570271854 62.19893834606634)
13,Yx Stryn,61.90069802938828,6.715850285970646,POINT (6.715850285970646 61.90069802938828)
14,IONITY Aurland,60.8992,7.2105,POINT (7.2105 60.8992)
15,IONITY Rygge,59.3865,10.75157,POINT (10.75157 59.3865)
16,IONITY Leirvik,59.77513,5.486289,POINT (5.486289 59.77513)
17,IONITY Dal,60.2531,11.1826,POINT (11.1826 60.2531)
18,IONITY Bergen,60.484743,5.376448,POINT (5.376448 60.484743)
19,IONITY Dombås,62.074209,9.12493,POINT (9.12493 62.074209)
20,IONITY Sira,58.40599,6.62316,POINT (6.62316 58.40599)
21,IONITY Gol,60.702042,8.943108,POINT (8.943108 60.702042)
22,IONITY Ringdalskogen,59.11234,10.11033,POINT (10.11033 59.11234)
23,Circle K Sannan,64.0099804012101,11.502809023181952,POINT (11.502809023181952 64.0099804012101)
24,IONITY Kjerlingland,58.236828,8.299077,POINT (8.299077 58.236828)
25,IONITY Bagn,60.822468,9.5541,POINT (9.5541 60.822468)
26,Frohavet,63.88479,9.87337,POINT (9.87337 63.88479)
27,Doktorbakken 2,60.15911,11.43023,POINT (11.43023 60.15911)
28,Doktorbakken 6,60.15883,11.4279,POINT (11.4279 60.15883)
29,Rema 1000 Stavern,59.01617,10.02119,POINT (10.02119 59.01617)
30,Gromstad 50kw,58.87814,9.40728,POINT (9.40728 58.87814)
31,Bjelland,58.38356,7.52764,POINT (7.52764 58.38356)
32,Mehamn,71.0382208,27.8506775,POINT (27.8506775 71.0382208)
33,Kjøllefjord,70.9458779,27.3523839,POINT (27.3523839 70.9458779)
34,Bygdekinoen Øksfjord,70.2394881,22.3474748,POINT (22.3474748 70.2394881)
35,Tana Bru,70.20032,28.18906,POINT (28.18906 70.20032)
36,Varangerbotn,70.1721581,28.5553805,POINT (28.5553805 70.1721581)
37,Vadsø,70.0730834,29.7547072,POINT (29.7547072 70.0730834)
38,Extra Bossekop,69.96111,23.23252,POINT (23.23252 69.96111)
39,YX Burfjord,69.94074,22.05,POINT (22.05 69.94074)
40,Circle K Nordreisa,69.77198,21.02699,POINT (21.02699 69.77198)
41,Kåfjord,69.5416909,20.5506883,POINT (20.5506883 69.5416909)
42,Karasjok,69.47264598,25.51792468,POINT (25.51792468 69.47264598)
43,Máze,69.44371,23.66711,POINT (23.66711 69.44371)
44,Andøya Space Center,69.29569,16.03082,POINT (16.03082 69.29569)
45,Esso Kautokeino,69.01323,23.04084,POINT (23.04084 69.01323)
46,Hansens Bilverksted Mosjøen,65.82818,13.20252,POINT (13.20252 65.82818)
47,Storgata,64.86287,11.23773,POINT (11.23773 64.86287)
48,Strangata,64.86067,11.23663,POINT (11.23663 64.86067)
49,AutoU+0026#039;n AS,64.302492,10.512236,POINT (10.512236 64.302492)
50,Hellsenteret ladestasjon,63.44782,10.91071,POINT (10.91071 63.44782)
