,source,target,length,Name_2,ID_2,geometry,unique_id
28,954272,279457,10460.10809,,,"MULTILINESTRING ((9.038838694405207 58.75541207427107, 8.859373760460187 58.74451794220551))",954272_279457
42,1306725,892553,16944.55074,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 10.010051871059183 59.60703378004697))",1306725_892553
43,1306725,613853,17910.82374,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 9.820849141115485 59.54669793153654))",1306725_613853
44,1306725,246612,11239.09381,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 9.591272614336466 59.735753484232795))",1306725_246612
45,626111,246612,12162.60912,,,"MULTILINESTRING ((9.525987851154536 59.63169091505147, 9.591272614336466 59.735753484232795))",626111_246612
46,809264,931072,10723.85322,,,"MULTILINESTRING ((9.065468618032723 59.59727656456977, 9.081387144695078 59.693197674085084))",809264_931072
47,809264,749668,18199.66116,,,"MULTILINESTRING ((9.065468618032723 59.59727656456977, 8.743770591581647 59.607242596810316))",809264_749668
48,928340,968532,13931.09618,,,"MULTILINESTRING ((8.590941131202005 59.469673754377624, 8.51282070878726 59.35113202374387))",928340_968532
49,928340,356477,15403.63641,,,"MULTILINESTRING ((8.590941131202005 59.469673754377624, 8.322055835169875 59.489852335289974))",928340_356477
50,1566437,489545,15291.02535,,,"MULTILINESTRING ((7.86784781430211 59.617299971116466, 7.696642849072957 59.723783681109026))",1566437_489545
51,489545,509782,15849.87154,,,"MULTILINESTRING ((7.696642849072957 59.723783681109026, 7.461862923062601 59.64537123016214))",489545_509782
52,830220,1757829,19247.08111,,,"MULTILINESTRING ((7.411422925600666 59.76998716929949, 7.107518055310146 59.85005795580012))",830220_1757829
53,1757829,1716024,10175.88408,,,"MULTILINESTRING ((7.107518055310146 59.85005795580012, 6.926237366028022 59.85508968253361))",1757829_1716024
54,1716024,1660444,13697.0484,,,"MULTILINESTRING ((6.926237366028022 59.85508968253361, 6.789410261494687 59.75329029375283))",1716024_1660444
55,1253061,1300379,12382.23048,,,"MULTILINESTRING ((6.253914297424724 59.32978450920134, 6.154323924598323 59.231005697293554))",1253061_1300379
56,1300379,1299765,12227.68985,,,"MULTILINESTRING ((6.154323924598323 59.231005697293554, 6.245932138595864 59.131819080120444))",1300379_1299765
57,1300379,451620,16794.17486,,,"MULTILINESTRING ((6.154323924598323 59.231005697293554, 6.081349224758257 59.084979998511685))",1300379_451620
58,1299765,451620,10777.01043,,,"MULTILINESTRING ((6.245932138595864 59.131819080120444, 6.081349224758257 59.084979998511685))",1299765_451620
59,1295330,356179,12678.20296,,,"MULTILINESTRING ((5.767703067552898 59.018176911737605, 5.679592561605404 59.122555235224986))",1295330_356179
60,279457,623316,14318.93735,,,"MULTILINESTRING ((8.859373760460187 58.74451794220551, 8.637936417727644 58.687472956541804))",279457_623316
61,623316,268177,13334.23022,,,"MULTILINESTRING ((8.637936417727644 58.687472956541804, 8.421950210775634 58.72869308651428))",623316_268177
62,268177,931938,14281.65667,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.436248312035445 58.60069576741624))",268177_931938
63,268177,622916,14271.4248,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.260846682688317 58.63186015431526))",268177_622916
64,268177,288587,19814.036,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.570531328247121 58.8889978333845))",268177_288587
65,622916,931938,10768.07649,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.436248312035445 58.60069576741624))",622916_931938
66,622916,1827783,15102.50477,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.02148781668743 58.579144318531604))",622916_1827783
67,622916,287126,23675.53231,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.296607356111744 58.420132561740694))",622916_287126
68,1827783,1279138,15927.02257,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.755110272072027 58.54639920171845))",1827783_1279138
69,1827783,1556327,14013.71265,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.809164759454095 58.63874498733487))",1827783_1556327
70,1279138,1123430,19608.64086,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.440877609688643 58.483492064703654))",1279138_1123430
71,1279138,1556327,10755.80383,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.809164759454095 58.63874498733487))",1279138_1556327
72,1279138,1122276,23662.09991,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.813077398186331 58.336150298036436))",1279138_1122276
