,u,v,length,CS_id,geometry,Level,PowerKW_list,Number_Of_Chargers,Name,traffic_id,vol_jan,vol_feb,vol_mar,vol_apr,vol_may,vol_jun,vol_jul,vol_aug,vol_sep,vol_oct,vol_nov,vol_dec,range,actual_range_jan,actual_range_feb,actual_range_mar,actual_range_apr,actual_range_may,actual_range_jun,actual_range_jul,actual_range_aug,actual_range_sep,actual_range_oct,actual_range_nov,actual_range_dec,charge_prob_jan,charge_prob_feb,charge_prob_mar,charge_prob_apr,charge_prob_may,charge_prob_jun,charge_prob_jul,charge_prob_aug,charge_prob_sep,charge_prob_oct,charge_prob_nov,charge_prob_dec,charge_cars_jan,charge_cars_feb,charge_cars_mar,charge_cars_apr,charge_cars_may,charge_cars_jun,charge_cars_jul,charge_cars_aug,charge_cars_sep,charge_cars_oct,charge_cars_nov,charge_cars_dec,new_id,Charge_Supply
0,794436,735703,11865.76308,243288,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",6,Alna senter,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
1,794436,735703,11865.76308,46650,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0]",2,"Circle K Økern Hurtigladestasjon, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
2,794436,735703,11865.76308,46721,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[44.0, 44.0]",2,"Fortum hurtigladestasjon Kiwi Bjerke, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
3,794436,735703,11865.76308,243279,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 150.0, 150.0]",6,Recharge McDonald´s Alnabru,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
4,794436,735703,11865.76308,157384,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0, 50.0]",10,Obs Haugenstua,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
5,794436,735703,11865.76308,46673,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,[50.0],1,"Fortum - Birger N. Haug Hurtigladestasjon, Oslo",59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
6,794436,735703,11865.76308,243229,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[150.0, 150.0, 50.0, 50.0, 50.0, 50.0, 150.0, 150.0]",8,Circle K Brynseng,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
7,794436,735703,11865.76308,127022,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[175.0, 50.0]",2,Circle K Økern,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
8,794436,735703,11865.76308,243287,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[50.0, 150.0, 150.0, 150.0, 150.0, 150.0, 50.0, 150.0]",8,Dælenenggata U+0026amp; Tromsøgata - Carl Berner,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
9,794436,735703,11865.76308,243225,"LINESTRING (10.733792828475945 59.9099938409782, 10.936591408356318 59.94130095996104)",3,"[150.0, 150.0, 150.0, 150.0, 50.0]",5,Recharge Shell Etterstad,59192V1878201,34276,35539,35016,38122,37843,41610,30198,38625,38102,39098,38699,33801,300,240,240,240,270,300,315,330,330,306,276,245,240,0.0494406795,0.0494406795,0.0494406795,0.04394727066666667,0.039552543600000004,0.037669089142857146,0.03595685781818182,0.03595685781818182,0.03877700352941177,0.04299189521739131,0.04823480926829269,0.0494406795,338,351,346,335,299,313,217,277,295,336,373,334,794436_735703,235.70000000000002
