,source,target,length,Name_2,ID_2,geometry,unique_id,traffic_id,volume,1,2,3,4,5,6,7,8,9,10,11,12
0,954272,279457,10460.10809,,,"MULTILINESTRING ((9.038838694405207 58.75541207427107, 8.859373760460187 58.74451794220551))",954272_279457,15882V21841,948.0,948.0,1066.0,1116.0,1086.0,1154.0,1255.0,1294.0,,,,,
3,1306725,892553,16944.55074,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 10.010051871059183 59.60703378004697))",1306725_892553,08002V181261,10201.0,10201.0,11083.0,10841.0,10668.0,10862.0,11847.0,,12423.0,,,,
8,1306725,613853,17910.82374,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 9.820849141115485 59.54669793153654))",1306725_613853,08002V181261,10201.0,10201.0,11083.0,10841.0,10668.0,10862.0,11847.0,,12423.0,,,,
13,1306725,246612,11239.09381,,,"MULTILINESTRING ((9.782295476831635 59.70627843980577, 9.591272614336466 59.735753484232795))",1306725_246612,08002V181261,10201.0,10201.0,11083.0,10841.0,10668.0,10862.0,11847.0,,12423.0,,,,
18,626111,246612,12162.60912,,,"MULTILINESTRING ((9.525987851154536 59.63169091505147, 9.591272614336466 59.735753484232795))",626111_246612,36539V181297,2125.0,2125.0,2523.0,2577.0,2277.0,2382.0,2768.0,3337.0,3112.0,2881.0,2694.0,2188.0,2101.0
27,809264,931072,10723.85322,,,"MULTILINESTRING ((9.065468618032723 59.59727656456977, 9.081387144695078 59.693197674085084))",809264_931072,37690V521133,896.0,896.0,1113.0,1201.0,1050.0,1105.0,1314.0,1686.0,1599.0,1407.0,1163.0,903.0,
30,809264,749668,18199.66116,,,"MULTILINESTRING ((9.065468618032723 59.59727656456977, 8.743770591581647 59.607242596810316))",809264_749668,12510V521383,2034.0,2034.0,2307.0,2475.0,2446.0,2803.0,3195.0,3989.0,3612.0,3564.0,2719.0,2269.0,2075.0
31,928340,968532,13931.09618,,,"MULTILINESTRING ((8.590941131202005 59.469673754377624, 8.51282070878726 59.35113202374387))",928340_968532,39608V521433,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,928340,356477,15403.63641,,,"MULTILINESTRING ((8.590941131202005 59.469673754377624, 8.322055835169875 59.489852335289974))",928340_356477,63287V521386,2655.0,2655.0,3266.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,1566437,489545,15291.02535,,,"MULTILINESTRING ((7.86784781430211 59.617299971116466, 7.696642849072957 59.723783681109026))",1566437_489545,46694V521392,1050.0,1050.0,1252.0,1464.0,1517.0,1856.0,2150.0,3314.0,2515.0,1958.0,1576.0,1286.0,1207.0
36,489545,509782,15849.87154,,,"MULTILINESTRING ((7.696642849072957 59.723783681109026, 7.461862923062601 59.64537123016214))",489545_509782,12597V521106,298.0,298.0,429.0,583.0,448.0,475.0,731.0,1411.0,961.0,563.0,440.0,282.0,351.0
40,830220,1757829,19247.08111,,,"MULTILINESTRING ((7.411422925600666 59.76998716929949, 7.107518055310146 59.85005795580012))",830220_1757829,53365V521100,864.0,864.0,1137.0,1511.0,1365.0,1719.0,2127.0,3962.0,2662.0,1743.0,1275.0,940.0,1014.0
43,1757829,1716024,10175.88408,,,"MULTILINESTRING ((7.107518055310146 59.85005795580012, 6.926237366028022 59.85508968253361))",1757829_1716024,53365V521100,864.0,864.0,1137.0,1511.0,1365.0,1719.0,2127.0,3962.0,2662.0,1743.0,1275.0,940.0,1014.0
46,1716024,1660444,13697.0484,,,"MULTILINESTRING ((6.926237366028022 59.85508968253361, 6.789410261494687 59.75329029375283))",1716024_1660444,51143V319682,225.0,225.0,232.0,271.0,250.0,389.0,551.0,816.0,610.0,351.0,245.0,219.0,197.0
49,1253061,1300379,12382.23048,,,"MULTILINESTRING ((6.253914297424724 59.32978450920134, 6.154323924598323 59.231005697293554))",1253061_1300379,96084V320596,1551.0,1551.0,1677.0,1797.0,1942.0,2273.0,2552.0,2698.0,2529.0,2111.0,1880.0,1738.0,1553.0
53,1300379,1299765,12227.68985,,,"MULTILINESTRING ((6.154323924598323 59.231005697293554, 6.245932138595864 59.131819080120444))",1300379_1299765,96084V320596,1551.0,1551.0,1677.0,1797.0,1942.0,2273.0,2552.0,2698.0,2529.0,2111.0,1880.0,1738.0,1553.0
57,1300379,451620,16794.17486,,,"MULTILINESTRING ((6.154323924598323 59.231005697293554, 6.081349224758257 59.084979998511685))",1300379_451620,96084V320596,1551.0,1551.0,1677.0,1797.0,1942.0,2273.0,2552.0,2698.0,2529.0,2111.0,1880.0,1738.0,1553.0
61,1299765,451620,10777.01043,,,"MULTILINESTRING ((6.245932138595864 59.131819080120444, 6.081349224758257 59.084979998511685))",1299765_451620,96084V320596,1551.0,1551.0,1677.0,1797.0,1942.0,2273.0,2552.0,2698.0,2529.0,2111.0,1880.0,1738.0,1553.0
65,1295330,356179,12678.20296,,,"MULTILINESTRING ((5.767703067552898 59.018176911737605, 5.679592561605404 59.122555235224986))",1295330_356179,50233V320584,4072.0,4072.0,4634.0,4852.0,5149.0,5494.0,5720.0,6099.0,5716.0,4938.0,4855.0,4658.0,4419.0
68,279457,623316,14318.93735,,,"MULTILINESTRING ((8.859373760460187 58.74451794220551, 8.637936417727644 58.687472956541804))",279457_623316,15882V21841,948.0,948.0,1066.0,1116.0,1086.0,1154.0,1255.0,1294.0,,,,,
71,623316,268177,13334.23022,,,"MULTILINESTRING ((8.637936417727644 58.687472956541804, 8.421950210775634 58.72869308651428))",623316_268177,18304V22179,757.0,757.0,819.0,898.0,902.0,1013.0,1125.0,1485.0,1449.0,1197.0,972.0,841.0,686.0
75,268177,931938,14281.65667,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.436248312035445 58.60069576741624))",268177_931938,18304V22179,757.0,757.0,819.0,898.0,902.0,1013.0,1125.0,1485.0,1449.0,1197.0,972.0,841.0,686.0
79,268177,622916,14271.4248,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.260846682688317 58.63186015431526))",268177_622916,18304V22179,757.0,757.0,819.0,898.0,902.0,1013.0,1125.0,1485.0,1449.0,1197.0,972.0,841.0,686.0
83,268177,288587,19814.036,,,"MULTILINESTRING ((8.421950210775634 58.72869308651428, 8.570531328247121 58.8889978333845))",268177_288587,18304V22179,757.0,757.0,819.0,898.0,902.0,1013.0,1125.0,1485.0,1449.0,1197.0,972.0,841.0,686.0
87,622916,931938,10768.07649,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.436248312035445 58.60069576741624))",622916_931938,74801V22176,265.0,265.0,278.0,314.0,316.0,363.0,432.0,547.0,523.0,412.0,341.0,263.0,230.0
88,622916,1827783,15102.50477,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.02148781668743 58.579144318531604))",622916_1827783,34095V22185,480.0,480.0,563.0,637.0,695.0,878.0,966.0,1219.0,1099.0,884.0,753.0,635.0,529.0
89,622916,287126,23675.53231,,,"MULTILINESTRING ((8.260846682688317 58.63186015431526, 8.296607356111744 58.420132561740694))",622916_287126,26773V21770,876.0,876.0,899.0,885.0,914.0,1021.0,1090.0,1155.0,1202.0,1083.0,998.0,851.0,784.0
92,1827783,1279138,15927.02257,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.755110272072027 58.54639920171845))",1827783_1279138,50730V121765,790.0,790.0,912.0,977.0,933.0,1073.0,1130.0,990.0,369.0,1021.0,943.0,864.0,772.0
96,1827783,1556327,14013.71265,,,"MULTILINESTRING ((8.02148781668743 58.579144318531604, 7.809164759454095 58.63874498733487))",1827783_1556327,46503V22163,1469.0,1469.0,1754.0,1833.0,1545.0,1518.0,1828.0,2607.0,,,,1352.0,1394.0
99,1279138,1123430,19608.64086,,,"MULTILINESTRING ((7.755110272072027 58.54639920171845, 7.440877609688643 58.483492064703654))",1279138_1123430,50730V121765,790.0,790.0,912.0,977.0,933.0,1073.0,1130.0,990.0,369.0,1021.0,943.0,864.0,772.0
